iter	RMSE
148	0.1314576247
149	0.1313039973
150	0.1311234304
151	0.1308894158
152	0.1308288727
153	0.1304917258
154	0.1303598214
155	0.1302404153
156	0.1300571899
157	0.1299264675
158	0.1296574339
159	0.1295739696
160	0.1292433789
161	0.1290431779
162	0.1288255806
163	0.1285286008
164	0.1283530157
165	0.12827634
166	0.1281282244
167	0.1279874815
168	0.1278479391
169	0.1275899957
170	0.1273895111
171	0.1272325995
172	0.1271399574
173	0.1270744961
174	0.1268916515
175	0.1267354733
176	0.1265978043
177	0.1264052299
178	0.1262736023
179	0.1261938717
180	0.1260789035
181	0.1259821413
182	0.1258913493
183	0.1256883853
184	0.1255326533
185	0.1254241619
186	0.1252869187
187	0.1251022609
188	0.124873119
189	0.1247950987
190	0.1246582124
191	0.124566436
192	0.1244311192
193	0.1243290298
194	0.1242296888
195	0.1241730071
196	0.1240074423
197	0.123927425
198	0.1238298003
199	0.1237282006
200	0.1236689378
201	0.1235943069
202	0.1233925758
203	0.1233000053
204	0.123259887
205	0.1231271653
206	0.1230489969
207	0.1230075382
208	0.1229601801
209	0.1227959743
210	0.1227066074
211	0.1226200931
212	0.1225454529
213	0.1224163387
214	0.122279343
215	0.1221838522
216	0.1221382548
217	0.1220274148
218	0.1219073103
219	0.1217725314
220	0.1216417918
221	0.1215358647
222	0.1214571329
223	0.1214219363
224	0.1213432637
225	0.1212943164
226	0.1211933436
227	0.1211251262
228	0.1210752619
229	0.1210263385
230	0.1209326196
231	0.1208784649
232	0.1207838681
233	0.1207117387
234	0.1206436894
235	0.1206073501
236	0.1204671271
237	0.1203680591
238	0.1202909127
239	0.1202256203
240	0.1201536178
241	0.1201069777
242	0.1199893631
243	0.1199086092
244	0.1198424207
245	0.1197611893
246	0.1197296756
247	0.1196593648
248	0.1196121953
249	0.1195080197
250	0.1194318574
251	0.1193954262
252	0.1193392803
253	0.1192618432
254	0.1192264785
255	0.1191595105
256	0.1191041241
257	0.1190430865
258	0.1189377008
259	0.1188927917
260	0.1188282302
261	0.1187554558
262	0.118688158
263	0.1186459347
264	0.1185706399
265	0.1184986563
266	0.1184656248
267	0.1184265071
268	0.1183859134
269	0.1183082399
270	0.1182546852
271	0.1181545851
272	0.1181173311
273	0.1180793825
274	0.1180394944
275	0.1179881422
276	0.1179355768
277	0.1178840314
278	0.1178417131
279	0.1177643563
280	0.1177136017
281	0.117670438
282	0.1176104491
283	0.1175776007
284	0.1175302745
285	0.1174756492
286	0.1173908831
287	0.1173490311
288	0.11732478
289	0.1172798621
290	0.1172244901
291	0.1171901526
292	0.1171680189
293	0.1171319694
294	0.1170635766
295	0.1170362086
296	0.1170067333
297	0.1169686473
298	0.1169032395
299	0.1168538357
300	0.1168102319
301	0.1167822798
302	0.1167241973
303	0.1166955163
304	0.1166558521
305	0.1166153914
306	0.1165691092
307	0.1164602766
308	0.1164232862
309	0.1163756242
310	0.1163459755
311	0.1162928215
312	0.1162285612
313	0.1161880844
314	0.1161588028
315	0.1161362429
316	0.1161019726
317	0.1160778533
318	0.1160387881
319	0.1160075739
320	0.115973725
321	0.1159215443
322	0.1158977674
323	0.1158755305
324	0.1158355437
325	0.1158017195
326	0.1157583683
327	0.1157404208
328	0.1157084765
329	0.1156871912
330	0.1156683472
331	0.1155955179
332	0.1155487071
333	0.1155144206
334	0.1154787337
335	0.1154318661
336	0.1153750361
337	0.1153616252
338	0.1153155053
339	0.1152765145
340	0.1152451248
341	0.1151990513
342	0.1151615593
343	0.115113335
344	0.1150861559
345	0.1150642243
346	0.1150143511
347	0.1149643868
348	0.1149319022
349	0.1148451504
350	0.1148155937
