iter	Passed	Remaining
419	2453	3388
420	2459	3382
421	2465	3376
422	2471	3370
423	2477	3365
424	2482	3358
425	2488	3352
426	2494	3346
427	2500	3341
428	2505	3334
429	2510	3328
430	2516	3321
431	2521	3315
432	2527	3310
433	2533	3304
434	2539	3298
435	2544	3291
436	2550	3285
437	2555	3278
438	2560	3272
439	2566	3266
440	2572	3260
441	2577	3254
442	2586	3251
443	2593	3248
444	2601	3244
445	2609	3241
446	2616	3237
447	2622	3231
448	2630	3227
449	2637	3223
450	2644	3218
451	2651	3214
452	2658	3210
453	2666	3206
454	2672	3201
455	2680	3197
456	2686	3192
457	2692	3186
458	2698	3180
459	2703	3174
460	2709	3168
461	2716	3162
462	2721	3157
463	2727	3150
464	2733	3144
465	2739	3139
466	2745	3132
467	2750	3126
468	2755	3120
469	2761	3113
470	2766	3107
471	2772	3101
472	2777	3094
473	2783	3089
474	2788	3082
475	2794	3075
476	2799	3069
477	2804	3063
478	2810	3056
479	2815	3050
480	2821	3043
481	2826	3037
482	2831	3031
483	2837	3024
484	2842	3018
485	2848	3012
486	2853	3006
487	2859	3000
488	2864	2993
489	2870	2987
490	2875	2981
491	2881	2974
492	2887	2969
493	2894	2964
494	2899	2958
495	2906	2952
496	2911	2947
497	2917	2940
498	2923	2934
499	2928	2928
500	2934	2922
501	2939	2916
502	2945	2910
503	2950	2903
504	2956	2897
505	2961	2891
506	2967	2885
507	2973	2879
508	2978	2873
509	2984	2867
510	2989	2861
511	2995	2854
512	3001	2849
513	3007	2843
514	3013	2837
515	3018	2831
516	3023	2824
517	3029	2818
518	3034	2812
519	3040	2806
520	3046	2800
521	3051	2794
522	3056	2788
523	3062	2782
524	3068	2776
525	3074	2770
526	3080	2764
527	3086	2759
528	3092	2753
529	3098	2747
530	3104	2741
531	3109	2735
532	3115	2729
533	3121	2723
534	3126	2717
535	3131	2711
536	3137	2705
537	3142	2698
538	3148	2692
539	3154	2686
540	3159	2680
541	3165	2674
542	3170	2668
543	3176	2662
544	3181	2656
545	3187	2650
546	3192	2644
547	3198	2638
548	3204	2632
549	3209	2626
550	3215	2620
551	3220	2614
552	3226	2608
553	3232	2602
554	3238	2596
555	3243	2590
556	3249	2584
557	3254	2578
558	3260	2572
559	3266	2566
560	3273	2561
561	3279	2555
562	3284	2549
563	3290	2543
564	3295	2537
565	3300	2530
566	3306	2524
567	3311	2518
568	3316	2512
569	3322	2506
570	3327	2500
571	3333	2494
572	3338	2488
573	3344	2481
574	3349	2475
575	3355	2469
576	3360	2463
577	3366	2457
578	3372	2452
579	3378	2446
580	3383	2440
581	3389	2434
582	3395	2428
583	3400	2422
584	3406	2416
585	3412	2410
586	3418	2404
587	3424	2399
588	3430	2393
589	3436	2388
590	3442	2382
591	3449	2377
592	3455	2371
593	3461	2366
594	3467	2360
595	3474	2355
596	3480	2349
597	3486	2343
598	3493	2338
599	3499	2332
600	3505	2327
601	3511	2321
602	3517	2315
603	3524	2310
604	3530	2304
605	3536	2298
606	3541	2293
607	3547	2287
608	3553	2281
609	3558	2275
610	3564	2269
611	3569	2263
612	3575	2257
613	3581	2251
614	3586	2245
615	3592	2239
616	3598	2233
617	3603	2227
618	3611	2222
619	3617	2217
620	3623	2211
621	3629	2205
622	3634	2199
623	3640	2193
624	3645	2187
625	3651	2181
626	3657	2175
627	3663	2169
628	3668	2164
629	3674	2157
630	3680	2152
631	3685	2146
632	3690	2139
633	3696	2134
634	3702	2128
635	3707	2122
636	3715	2117
637	3720	2111
638	3727	2105
639	3732	2099
640	3737	2093
641	3745	2088
642	3750	2082
643	3757	2077
644	3763	2071
645	3768	2065
646	3774	2059
647	3780	2053
648	3785	2047
649	3791	2041
650	3797	2035
651	3802	2029
652	3808	2024
653	3814	2017
654	3820	2012
655	3826	2006
656	3832	2000
657	3838	1994
658	3843	1988
659	3848	1982
